Date,Adj Close,Close,High,Low,Open,Volume
2015-01-01,970.3305053710938,1272.7750244140625,1283.5,1270.5,1283.5,366830.0
2015-01-02,983.2528686523438,1289.7249755859375,1295.4749755859375,1275.300048828125,1275.5,925740.0
2015-01-05,968.310546875,1270.125,1299.949951171875,1262.324951171875,1290.5,1754242.0
2015-01-06,932.6119995117188,1223.300048828125,1264.550048828125,1220.0,1264.550048828125,2423784.0
2015-01-07,921.5960083007812,1208.8499755859375,1239.574951171875,1203.7249755859375,1235.0,2636332.0
2015-01-08,931.5449829101562,1221.9000244140625,1224.5,1210.2750244140625,1221.199951171875,1565408.0
2015-01-09,957.6558227539062,1256.1500244140625,1259.949951171875,1225.0,1227.5,3197642.0
2015-01-12,956.6651611328124,1254.8499755859375,1264.0,1240.125,1258.5,1596006.0
2015-01-13,952.1668090820312,1248.949951171875,1265.199951171875,1240.050048828125,1260.0,1468432.0
2015-01-14,961.3346557617188,1260.9749755859375,1265.9000244140625,1250.25,1258.0,1787096.0
2015-01-15,967.8721923828124,1269.550048828125,1290.875,1261.625,1266.5,5009920.0
2015-01-16,965.22216796875,1266.074951171875,1272.5,1242.1500244140625,1271.8499755859375,5293830.0
2015-01-19,957.160400390625,1255.5,1275.5,1251.5,1268.0,1135074.0
2015-01-20,953.1389770507812,1250.2249755859375,1265.0,1241.625,1260.0,2058566.0
2015-01-21,958.2279663085938,1256.9000244140625,1261.0,1244.125,1261.0,2310480.0
2015-01-22,958.132568359375,1256.7750244140625,1260.625,1247.75,1258.25,2113214.0
2015-01-23,954.33984375,1251.800048828125,1266.0250244140625,1248.050048828125,1257.0,3150380.0
2015-01-27,955.6575927734376,1251.0250244140625,1257.5,1244.7750244140625,1256.175048828125,2738736.0
2015-01-28,969.9996948242188,1269.800048828125,1272.449951171875,1251.449951171875,1251.5,3121980.0
2015-01-29,971.9280395507812,1272.324951171875,1284.3499755859375,1256.449951171875,1269.0,3734392.0
2015-01-30,948.0184936523438,1241.0250244140625,1287.5,1235.0,1280.3499755859375,5817402.0
2015-02-02,960.2981567382812,1257.0999755859375,1260.7249755859375,1231.0250244140625,1241.0,3181802.0
2015-02-03,977.1231079101562,1279.125,1282.5,1253.550048828125,1255.824951171875,2345054.0
2015-02-04,960.3364868164062,1257.1500244140625,1285.8499755859375,1251.050048828125,1284.0,2245418.0
2015-02-05,974.8885498046876,1276.199951171875,1295.8499755859375,1259.5,1260.0,4530168.0
2015-02-06,983.8067626953124,1287.875,1297.4000244140625,1275.425048828125,1276.5,2136416.0
2015-02-09,959.8013305664062,1256.449951171875,1284.550048828125,1250.0,1280.75,2076432.0
2015-02-10,932.3966064453124,1220.574951171875,1263.125,1216.5,1255.0,3799054.0
2015-02-11,939.558349609375,1229.949951171875,1243.625,1223.625,1227.5250244140625,2937522.0
