Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility,Hurst
2015-05-29,189.1572265625,200.4674530029297,202.6275634765625,199.5759735107422,201.13034057617188,29277517.0,0.001370152264450919,0.01653231351767067,0.29241205356113187
2015-06-01,194.60330200195312,206.2391662597656,206.8449249267578,200.6960296630859,201.1531982421875,19594976.0,0.028791262900303094,0.016116457025297917,0.321514153371157
2015-06-02,193.82684326171875,205.4162750244141,210.022216796875,203.77047729492188,207.03921508789065,20178960.0,-0.003989956656678784,0.016161149938570613,0.37809172302912614
2015-06-03,193.33074951171875,204.8905334472656,208.11355590820312,203.09616088867188,205.49627685546875,15546279.0,-0.0025594687590827503,0.015830192026077293,0.417904519778329
2015-06-04,196.8572235107422,208.62786865234375,209.4279022216797,204.02191162109375,206.68490600585935,15931395.0,0.01824062653214753,0.015959623144082977,0.44968249870572025
2015-06-05,195.78958129882812,207.4963836669922,209.5993499755859,206.74205017089844,207.9878387451172,13066337.0,-0.005423434268114646,0.014212014148679245,0.42774703246321616
2015-06-08,190.9797821044922,202.3989715576172,208.0106964111328,201.86180114746097,207.2792205810547,10846953.0,-0.024566165178089183,0.015237474993851672,0.4120713329713573
2015-06-09,190.6023101806641,201.99896240234375,203.5876007080078,200.5474548339844,201.96466064453125,9153355.0,-0.0019765020132945788,0.013527953722650386,0.3798762940931873
2015-06-10,195.36900329589844,207.05064392089844,207.9878387451172,202.29611206054688,202.52468872070312,13509379.0,0.025008579962730648,0.014016324740263951,0.32704040141632157
2015-06-11,189.18955993652344,200.50173950195312,207.8964080810547,199.70169067382812,207.0963592529297,14676438.0,-0.031629599655662144,0.01573380993182105,0.3073660515441853
2015-06-12,191.9287872314453,203.4047393798828,204.0561981201172,200.753173828125,200.92462158203125,21543824.0,0.014478744471105864,0.01600793442397419,0.3379507500214732
2015-06-15,194.49545288085935,206.1248779296875,206.86778259277344,203.43902587890625,204.55908203125,12858570.0,0.013373010304696509,0.015650215795982345,0.38473214164690756
2015-06-16,194.96994018554688,206.6277618408203,206.86778259277344,204.1705017089844,205.49627685546875,13929305.0,0.00243958045115944,0.015630732648430776,0.4512890977334732
2015-06-17,200.84744262695312,212.85665893554688,215.4053649902344,204.35336303710935,206.87921142578125,26232634.0,0.030145685205692718,0.016702901924704,0.4825837488999866
2015-06-18,211.14646911621097,223.77149963378903,224.4686737060547,213.15380859375,213.1652374267578,49366799.0,0.05127785723608591,0.019695332672306262,0.6008538752423351
2015-06-19,214.96414184570312,227.8174285888672,230.04611206054688,224.58297729492188,224.58297729492188,45710935.0,0.018080684680504833,0.019915923843966264,0.6084280715364444
2015-06-22,213.89646911621097,226.6859436035156,230.5718536376953,225.4972991943359,227.8860015869141,19394187.0,-0.0049667480367888706,0.01973208779048368,0.566569792044445
2015-06-23,214.6082305908203,227.4402618408203,229.20034790039065,226.5259246826172,226.9030914306641,16007498.0,0.0033275980550322437,0.01936059145923988,0.5484018750085333
2015-06-24,213.72390747070312,226.50306701660156,230.0575408935547,225.53158569335935,227.4402618408203,18603004.0,-0.00412063935144813,0.01946202315281964,0.4798318319530602
2015-06-25,216.6680450439453,229.62322998046875,230.6404266357422,225.15443420410156,225.61160278320312,27175118.0,0.013775424603098108,0.019133257771174132,0.47957922538328907
2015-06-26,215.83767700195312,228.74319458007812,231.8061981201172,227.5316925048828,228.5603179931641,20966796.0,-0.0038324435051037,0.019249611017488864,0.4872560657489507
2015-06-29,213.713134765625,226.49163818359375,227.17739868164065,222.1828460693359,225.81732177734375,20168946.0,-0.009843240836533318,0.018860522847771226,0.5345438637823683
2015-06-30,215.70822143554688,228.6060333251953,229.2346343994141,225.84017944335935,226.2744903564453,23184864.0,0.009335348864307536,0.01876649195662254,0.5909807725176418
2015-07-01,216.9053192138672,229.8746795654297,230.9718780517578,228.811767578125,228.811767578125,14824266.0,0.0055496159133554546,0.01866990918135521,0.6116269399151834
2015-07-02,218.02688598632812,231.0633087158203,233.0977020263672,230.20611572265625,230.6404266357422,15931202.0,0.005170766565457452,0.018443833959078407,0.6164821712798463
2015-07-03,217.23959350585935,230.22897338867188,231.7376251220703,229.2803497314453,230.81185913085935,13831096.0,-0.003610988052721864,0.018392856707074023,0.6013616886000335
2015-07-06,219.0406036376953,232.1376495361328,232.9033966064453,227.48597717285156,227.69171142578125,12237733.0,0.00829043224934689,0.01699221040727602,0.5830675617014174
2015-07-07,216.38763427734375,229.3260803222656,232.37765502929688,228.5831756591797,231.09759521484375,11294999.0,-0.01211176976456707,0.01742018174821859,0.5838873015524629
2015-07-08,214.9533538818359,227.80599975585935,230.5718536376953,226.6745147705078,227.63455200195312,15190654.0,-0.0066282918628775,0.017084878067691628,0.5284856261126457
2015-07-09,212.96902465820312,225.7030334472656,228.811767578125,224.73155212402344,227.66883850097656,16245867.0,-0.009231441090812753,0.01519183992304277,0.5054882774824713
2015-07-10,216.0749053955078,228.99462890625,229.4975128173828,226.3544921875,226.5487823486328,16110573.0,0.014583720530670474,0.015194924992007778,0.5146133437074862
2015-07-13,217.19647216796875,230.18325805664065,231.4404754638672,227.47454833984375,228.99462890625,9860248.0,0.005190638729694275,0.015097223571894433,0.5554225756850463
2015-07-14,215.212158203125,228.08029174804688,231.21188354492188,227.48597717285156,230.61756896972656,9942927.0,-0.009136032206403355,0.015444315864637508,0.6095450595065189
2015-07-15,218.0915679931641,231.1318817138672,231.8747711181641,228.48031616210935,228.52603149414065,13532911.0,0.013379401117856071,0.014433064743378816,0.6235478287988419
2015-07-16,220.7984619140625,234.00059509277344,234.9377899169922,231.1318817138672,231.326171875,14854295.0,0.012411731209082122,0.009557025691180035,0.6468987445490905
2015-07-17,220.3670654296875,233.54342651367188,235.7035369873047,232.6976776123047,234.3549041748047,10195142.0,-0.0019538020357356967,0.00883658678653843,0.6263504027749789
2015-07-20,221.02491760253903,234.24061584472656,235.4292449951172,232.67481994628903,234.9377899169922,6348354.0,0.0029852563111860686,0.008718887090259033,0.6031899190653617
2015-07-21,217.36903381347656,230.3661193847656,235.08636474609375,229.21177673339844,234.98350524902344,7923338.0,-0.016540595642870914,0.009607460359251394,0.597297199137014
2015-07-22,226.5572967529297,240.1037750244141,240.9152374267578,229.63465881347656,229.72608947753903,17309440.0,0.04227033988354356,0.013283495880783307,0.5787235447356119
2015-07-23,225.45730590820312,238.93800354003903,244.0925445556641,238.0008087158203,240.8123779296875,18642915.0,-0.004855243510104912,0.013140765652687087,0.5749456637462936
2015-07-24,221.0896453857422,234.30918884277344,239.9323272705078,233.40628051757812,239.55517578125,13099664.0,-0.019372450605966485,0.013943148369328737,0.5725530947559194
2015-07-27,216.8405914306641,229.80609130859375,235.41781616210935,228.9832000732422,234.27490234375,20118553.0,-0.01921869270568799,0.01448439632286133,0.5969318371087572
2015-07-28,217.89747619628903,230.92616271972656,232.4005126953125,228.6060333251953,230.4804229736328,13382878.0,0.004874017169257172,0.014380421398138126,0.6619994505009758
2015-07-29,214.82391357421875,227.66883850097656,231.48619079589844,226.77737426757812,230.7547149658203,14790821.0,-0.014105544844867923,0.014692754342975392,0.6819182084713157
2015-07-30,215.71902465820312,228.61746215820312,230.4118499755859,226.82308959960935,228.6060333251953,11701228.0,0.004166719938630603,0.014674492661215326,0.7198115444665723
2015-07-31,216.085693359375,229.0060577392578,230.3889923095703,226.29734802246097,228.5831756591797,16634259.0,0.001699751339747868,0.014661958671343811,0.7158773512795101
2015-08-03,216.21511840820312,229.14320373535156,231.74905395507812,228.4460296630859,228.811767578125,9887787.0,0.0005989524193665829,0.014528769151008964,0.682529786430013
2015-08-04,213.09841918945312,225.84017944335935,229.8746795654297,224.0115203857422,229.36036682128903,12006872.0,-0.01441480707591336,0.014633976721054319,0.6502745089641315
2015-08-05,213.0445251464844,225.7830352783203,228.76605224609375,224.94869995117188,225.89732360839844,14345010.0,-0.000252906817299281,0.014566520013201243,0.6071621864221838
