Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Rolling_Volatility,Hurst,Regime
2015-05-29,189.1572265625,200.4674530029297,202.6275634765625,199.5759735107422,201.13034057617188,29277517.0,0.0013701522644509,0.0165323135176706,0.2924120535611318,1
2015-06-01,194.60330200195312,206.2391662597656,206.8449249267578,200.6960296630859,201.1531982421875,19594976.0,0.028791262900303,0.0161164570252979,0.321514153371157,1
2015-06-02,193.82684326171875,205.4162750244141,210.022216796875,203.77047729492188,207.03921508789065,20178960.0,-0.0039899566566787,0.0161611499385706,0.3780917230291261,1
2015-06-03,193.33074951171875,204.8905334472656,208.11355590820312,203.09616088867188,205.49627685546875,15546279.0,-0.0025594687590827,0.0158301920260772,0.417904519778329,1
2015-06-04,196.8572235107422,208.62786865234375,209.4279022216797,204.02191162109375,206.68490600585935,15931395.0,0.0182406265321475,0.0159596231440829,0.4496824987057202,1
2015-06-05,195.78958129882812,207.4963836669922,209.5993499755859,206.74205017089844,207.9878387451172,13066337.0,-0.0054234342681146,0.0142120141486792,0.4277470324632161,1
2015-06-08,190.9797821044922,202.3989715576172,208.0106964111328,201.86180114746097,207.2792205810547,10846953.0,-0.0245661651780891,0.0152374749938516,0.4120713329713573,1
2015-06-09,190.6023101806641,201.99896240234375,203.5876007080078,200.5474548339844,201.96466064453125,9153355.0,-0.0019765020132945,0.0135279537226503,0.3798762940931873,1
2015-06-10,195.36900329589844,207.05064392089844,207.9878387451172,202.29611206054688,202.52468872070312,13509379.0,0.0250085799627306,0.0140163247402639,0.3270404014163215,1
2015-06-11,189.18955993652344,200.50173950195312,207.8964080810547,199.70169067382812,207.0963592529297,14676438.0,-0.0316295996556621,0.015733809931821,0.3073660515441853,1
2015-06-12,191.9287872314453,203.4047393798828,204.0561981201172,200.753173828125,200.92462158203125,21543824.0,0.0144787444711058,0.0160079344239741,0.3379507500214732,1
2015-06-15,194.49545288085935,206.1248779296875,206.86778259277344,203.43902587890625,204.55908203125,12858570.0,0.0133730103046965,0.0156502157959823,0.3847321416469075,1
2015-06-16,194.96994018554688,206.6277618408203,206.86778259277344,204.1705017089844,205.49627685546875,13929305.0,0.0024395804511594,0.0156307326484307,0.4512890977334732,1
2015-06-17,200.84744262695312,212.85665893554688,215.4053649902344,204.35336303710935,206.87921142578125,26232634.0,0.0301456852056927,0.016702901924704,0.4825837488999866,1
2015-06-18,211.14646911621097,223.77149963378903,224.4686737060547,213.15380859375,213.1652374267578,49366799.0,0.0512778572360859,0.0196953326723062,0.6008538752423351,1
2015-06-19,214.96414184570312,227.8174285888672,230.04611206054688,224.58297729492188,224.58297729492188,45710935.0,0.0180806846805048,0.0199159238439662,0.6084280715364444,0
2015-06-22,213.89646911621097,226.6859436035156,230.5718536376953,225.4972991943359,227.8860015869141,19394187.0,-0.0049667480367888,0.0197320877904836,0.566569792044445,1
2015-06-23,214.6082305908203,227.4402618408203,229.20034790039065,226.5259246826172,226.9030914306641,16007498.0,0.0033275980550322,0.0193605914592398,0.5484018750085333,1
2015-06-24,213.72390747070312,226.50306701660156,230.0575408935547,225.53158569335935,227.4402618408203,18603004.0,-0.0041206393514481,0.0194620231528196,0.4798318319530602,1
2015-06-25,216.6680450439453,229.62322998046875,230.6404266357422,225.15443420410156,225.61160278320312,27175118.0,0.0137754246030981,0.0191332577711741,0.479579225383289,1
2015-06-26,215.83767700195312,228.74319458007812,231.8061981201172,227.5316925048828,228.5603179931641,20966796.0,-0.0038324435051037,0.0192496110174888,0.4872560657489507,1
2015-06-29,213.713134765625,226.49163818359375,227.17739868164065,222.1828460693359,225.81732177734375,20168946.0,-0.0098432408365333,0.0188605228477712,0.5345438637823683,1
2015-06-30,215.70822143554688,228.6060333251953,229.2346343994141,225.84017944335935,226.2744903564453,23184864.0,0.0093353488643075,0.0187664919566225,0.5909807725176418,1
2015-07-01,216.9053192138672,229.8746795654297,230.9718780517578,228.811767578125,228.811767578125,14824266.0,0.0055496159133554,0.0186699091813552,0.6116269399151834,0
2015-07-02,218.02688598632812,231.0633087158203,233.0977020263672,230.20611572265625,230.6404266357422,15931202.0,0.0051707665654574,0.0184438339590784,0.6164821712798463,0
2015-07-03,217.23959350585935,230.22897338867188,231.7376251220703,229.2803497314453,230.81185913085935,13831096.0,-0.0036109880527218,0.018392856707074,0.6013616886000335,0
2015-07-06,219.0406036376953,232.1376495361328,232.9033966064453,227.48597717285156,227.69171142578125,12237733.0,0.0082904322493468,0.016992210407276,0.5830675617014174,1
2015-07-07,216.38763427734375,229.3260803222656,232.37765502929688,228.5831756591797,231.09759521484375,11294999.0,-0.012111769764567,0.0174201817482185,0.5838873015524629,1
2015-07-08,214.9533538818359,227.80599975585935,230.5718536376953,226.6745147705078,227.63455200195312,15190654.0,-0.0066282918628775,0.0170848780676916,0.5284856261126457,1
2015-07-09,212.96902465820312,225.7030334472656,228.811767578125,224.73155212402344,227.66883850097656,16245867.0,-0.0092314410908127,0.0151918399230427,0.5054882774824713,1
2015-07-10,216.0749053955078,228.99462890625,229.4975128173828,226.3544921875,226.5487823486328,16110573.0,0.0145837205306704,0.0151949249920077,0.5146133437074862,1
2015-07-13,217.19647216796875,230.18325805664065,231.4404754638672,227.47454833984375,228.99462890625,9860248.0,0.0051906387296942,0.0150972235718944,0.5554225756850463,1
